id,x,y,z
TEST_00001,3.9899116,-1.053118,0.04538974
TEST_00002,1.9301132,0.6168903,0.7975798
TEST_00003,0.80604506,-0.19004753,0.14709261
TEST_00004,3.5288544,-1.6467388,-0.940889
TEST_00005,2.3020968,0.016860023,-0.039681215
TEST_00006,4.9964867,-0.79003733,0.49782735
TEST_00007,2.8993716,1.0026711,0.8355635
TEST_00008,1.4947752,-0.41272193,0.40545666
TEST_00009,1.4522681,0.48386452,0.14944762
TEST_00010,2.258122,-0.4106929,0.16988496
TEST_00011,2.3295197,-0.46398503,0.022168979
TEST_00012,4.018588,1.503018,0.89817023
TEST_00013,2.5497708,0.582517,-0.3130957
TEST_00014,2.1576343,1.4918271,-0.21199214
TEST_00015,3.002229,-0.68732035,0.86673236
TEST_00016,3.2881598,0.502172,-0.5339573
TEST_00017,4.005784,0.8614181,1.1596928
TEST_00018,3.0721276,0.26215637,-0.48589125
TEST_00019,1.4125133,0.085810155,0.29033345
TEST_00020,1.8779557,0.06479133,0.030367924
TEST_00021,3.5104434,-0.37030727,-0.14321142
TEST_00022,1.4025772,0.29651228,-0.27481848
TEST_00023,2.1421618,0.3985154,0.6797909
TEST_00024,3.761426,-0.5853114,0.81687605
TEST_00025,4.9259577,1.6172383,1.2158543
TEST_00026,1.7900242,-0.5958513,-0.5099131
TEST_00027,3.4504158,0.18559402,-0.3383628
TEST_00028,3.4262981,0.483383,-0.061009493
TEST_00029,2.1753924,-1.1447787,1.3385713
TEST_00030,3.5353913,-0.19184637,1.2248199
TEST_00031,1.35505,-0.91052943,-0.09879909
TEST_00032,2.498107,-0.8104479,-0.020396424
TEST_00033,2.1613305,-0.59182024,0.4735586
TEST_00034,1.9938115,-0.1505011,0.39713594
TEST_00035,2.0442915,-0.1286788,-0.24238053
TEST_00036,3.5248108,-1.4057263,-0.547155
TEST_00037,2.838263,-1.576716,0.18592425
TEST_00038,0.9645062,0.3981181,-0.32427353
TEST_00039,5.1556797,0.77292377,-1.1268027
TEST_00040,2.3713002,0.31854358,-0.26186037
TEST_00041,3.222446,-0.4126313,0.69335425
TEST_00042,3.3492298,-1.5047235,-0.50744903
TEST_00043,4.0891824,1.6761837,0.89769244
TEST_00044,2.4167197,-0.75710857,-0.22684123
TEST_00045,1.5670452,0.41190237,-0.122427754
TEST_00046,4.44772,-0.1693523,0.60544395
TEST_00047,1.481985,-0.26380116,-0.2295544
TEST_00048,4.1501293,-0.9414111,0.49116236
TEST_00049,2.2213945,0.30168718,0.29434326
TEST_00050,1.0737194,0.5470406,-0.2420702
TEST_00051,3.2208834,-0.36052132,-1.052648
TEST_00052,4.3896484,0.57344234,1.5032887
TEST_00053,2.786978,0.06306419,0.1626463
TEST_00054,2.547467,0.21811423,0.9962879
TEST_00055,1.547063,0.08537105,0.36058584
TEST_00056,3.377161,-0.7686103,-1.1115916
TEST_00057,1.3449113,0.21761519,-0.17957321
TEST_00058,3.5342278,-0.6129096,-0.26868877
TEST_00059,3.190247,-0.45065108,-0.13847236
TEST_00060,2.0209131,-0.93505496,-0.6410507
TEST_00061,1.9263273,0.01562985,0.34122592
TEST_00062,2.1791863,0.044243887,0.79200906
TEST_00063,2.7105181,-0.013033647,-0.7423539
TEST_00064,1.8523842,-0.23924333,0.54071903
TEST_00065,2.8616655,-1.3791931,-0.74440956
TEST_00066,2.3023372,0.52498955,-0.33111528
TEST_00067,3.6520717,0.13231008,0.18912916
TEST_00068,3.1250672,-0.21410288,0.03685059
TEST_00069,3.0606718,-0.41630822,-0.2725773
TEST_00070,1.3573102,0.52012014,0.52233744
TEST_00071,2.6880236,-0.788308,0.66058564
TEST_00072,2.2553093,1.0321356,0.7763203
TEST_00073,3.1238604,-1.180048,0.91917324
TEST_00074,1.3460144,0.5382642,0.22256005
TEST_00075,0.92868716,0.3319684,-0.26345998
TEST_00076,3.9659996,0.1954234,1.0463165
TEST_00077,3.3509707,-1.3264921,-1.0883105
TEST_00078,1.2659141,-0.47024393,0.19178022
TEST_00079,4.7408385,-1.3919579,1.3067993
TEST_00080,1.436921,0.48667702,0.41207594
TEST_00081,3.6242287,-1.1680962,1.245973
TEST_00082,2.2156935,0.20702204,0.40010256
TEST_00083,2.991529,0.6511443,0.5671886
TEST_00084,2.602294,0.30319995,-0.18717661
TEST_00085,1.9788088,-0.43178165,0.026533581
TEST_00086,2.1124501,1.2892498,0.20390397
TEST_00087,3.9211268,-0.87359077,0.60679024
TEST_00088,5.237752,-2.1841826,1.3129231
TEST_00089,3.3144991,-0.00616654,0.14532565
TEST_00090,3.02197,0.62345344,0.47515243
TEST_00091,1.2365476,-0.31535307,0.21156341
TEST_00092,2.003448,-0.46625116,-0.52655697
TEST_00093,2.4449115,0.49537238,-0.3683362
TEST_00094,1.7702072,0.5791906,0.27148992
TEST_00095,3.8392043,-0.21614203,-0.86818975
TEST_00096,2.0944808,0.8215675,-0.4320072
TEST_00097,2.818579,-0.088164285,0.24011567
TEST_00098,4.80835,-1.077879,-0.119470336
TEST_00099,3.6601334,0.81887066,0.7246873
TEST_00100,1.0376004,0.2953028,0.36907464
TEST_00101,1.5978531,-0.34626415,-0.104076974
TEST_00102,1.8428838,0.49767828,0.41904226
TEST_00103,3.7221706,0.08075087,0.7887168
TEST_00104,2.0058713,0.0758587,-0.2663646
TEST_00105,1.26281,0.52031773,0.39001083
TEST_00106,3.1639588,-0.08283454,-1.1023743
TEST_00107,4.171756,-0.38697365,1.0744014
TEST_00108,3.0021844,-1.0604156,-0.49712336
TEST_00109,1.0188168,-0.17144224,-0.121481046
TEST_00110,2.5445175,-1.6553878,0.42824242
TEST_00111,2.9967651,-0.4274854,-0.64294654
TEST_00112,3.5231247,0.47948,-0.58213085
TEST_00113,3.0468445,-0.15202971,0.47592846
TEST_00114,2.8365715,-0.44237202,1.1867242
TEST_00115,1.2127317,-0.18193771,0.38742372
TEST_00116,3.6929288,-0.8500148,-0.7122185
TEST_00117,3.1332712,0.4608991,0.74362296
TEST_00118,1.6755672,0.61332583,0.49580547
TEST_00119,4.8521266,-0.027801896,-0.35967606
TEST_00120,2.7244866,-0.9993755,0.4988841
TEST_00121,4.8525414,-1.0341197,1.3192143
TEST_00122,4.268884,0.5135497,0.55966675
TEST_00123,1.7110732,0.92460155,-0.103886135
TEST_00124,1.7429959,0.19672109,-0.18849969
TEST_00125,2.1250274,-0.77972394,0.7407786
TEST_00126,1.5307817,-0.35230705,-0.30929577
TEST_00127,1.912566,0.33115375,0.1348646
TEST_00128,3.3308527,1.9588171,0.5235299
TEST_00129,3.5471792,0.45008314,0.46887365
TEST_00130,2.7125058,-0.1234132,-0.012227403
TEST_00131,1.5865571,0.10964272,0.29700643
TEST_00132,4.5101895,0.5948884,0.60570854
TEST_00133,2.3376925,0.63314795,0.4943197
TEST_00134,1.4218767,0.7905238,0.40977743
TEST_00135,2.0441115,0.92724633,0.3447243
TEST_00136,3.3626459,-0.11938846,-1.0078887
TEST_00137,1.8362025,0.8512125,-0.7194202
TEST_00138,3.1636503,0.557845,-0.81011194
TEST_00139,1.788374,-0.7771476,-0.5042469
TEST_00140,0.8920117,0.5128321,0.28545797
TEST_00141,1.9489689,-0.57148445,0.13570288
TEST_00142,1.1604023,-0.050590675,0.22793895
TEST_00143,4.199694,0.16291581,0.9520447
TEST_00144,2.1356077,-0.19527543,-0.07943612
TEST_00145,5.174317,0.009941569,-0.55010235
TEST_00146,3.071521,-0.21946813,-1.2814724
TEST_00147,2.1991904,-0.08606248,0.73569
TEST_00148,2.797907,1.0006044,-0.57746655
TEST_00149,3.3614383,1.1909206,0.54173267
TEST_00150,4.7349577,1.0738534,0.8033786
TEST_00151,2.3128672,0.1013099,-0.1402887
TEST_00152,2.4553003,0.8152625,0.42031685
TEST_00153,3.7434783,-0.37651104,-0.5762871
TEST_00154,2.9452689,0.22978097,-0.212303
TEST_00155,1.9801366,0.1803044,-0.5891135
TEST_00156,1.9519132,-0.4736065,0.39783666
TEST_00157,2.391785,-0.5617148,0.6145137
TEST_00158,2.6691017,-1.431274,1.0761468
TEST_00159,3.8422294,-1.2374201,2.1104162
TEST_00160,1.5151649,-0.020421553,-0.079956636
TEST_00161,1.1286683,0.5986403,0.026708744
TEST_00162,1.3211061,0.93357325,-0.08068889
TEST_00163,3.712992,0.20477477,0.059289016
TEST_00164,2.5085945,0.076904275,1.039726
TEST_00165,1.901078,0.45674485,0.50424355
TEST_00166,2.938242,-0.5671573,-0.17695695
TEST_00167,3.7795641,-0.055186685,0.26740307
TEST_00168,5.4897075,0.30928993,0.099013716
TEST_00169,2.6311295,-0.46786484,-0.18207128
TEST_00170,0.90274966,0.39886528,0.27826872
TEST_00171,3.4564047,-0.13294236,-0.03272582
TEST_00172,4.977628,0.78318155,-0.87824583
TEST_00173,1.2953902,0.17703691,-0.07770846
TEST_00174,3.1299744,1.9352506,-0.18243878
TEST_00175,3.3970075,0.5782473,0.5184988
TEST_00176,0.98141855,-0.6088325,-0.17615707
TEST_00177,1.5500683,0.7663061,-0.21569538
TEST_00178,5.2266912,0.5659238,-0.12844312
TEST_00179,3.8250668,1.4292144,0.1257686
TEST_00180,3.1392212,0.39013693,0.2678614
TEST_00181,2.8898344,0.16652778,0.018783173
TEST_00182,1.4769793,-0.42320296,-0.32365856
TEST_00183,2.0703266,-0.18626158,0.36553764
TEST_00184,3.0868108,-0.09554838,-0.2548821
TEST_00185,3.024536,0.84195906,-0.44000575
TEST_00186,2.45433,-0.10585764,-0.38530463
TEST_00187,3.613526,-0.6546472,0.33814037
TEST_00188,2.5183077,-0.35341674,-0.008171703
TEST_00189,1.4278729,0.7383995,0.30203575
