id,x,y,z
TEST_00001,3.9889636,-1.0531853,0.045003712
TEST_00002,1.9295526,0.61768115,0.79754037
TEST_00003,0.8061268,-0.18961836,0.14697747
TEST_00004,3.5294623,-1.6466303,-0.9404112
TEST_00005,2.3033195,0.016705874,-0.039607342
TEST_00006,4.998065,-0.7895912,0.4965756
TEST_00007,2.8997202,1.0030539,0.8353152
TEST_00008,1.4855363,-0.4247334,0.40627024
TEST_00009,1.455869,0.482976,0.14917797
TEST_00010,2.258461,-0.4104606,0.16935286
TEST_00011,2.3304973,-0.46270666,0.020818856
TEST_00012,4.02074,1.5030596,0.8976257
TEST_00013,2.5502503,0.5830218,-0.3133225
TEST_00014,2.157774,1.4930811,-0.2114784
TEST_00015,3.0015843,-0.68691415,0.8671197
TEST_00016,3.2885575,0.5014419,-0.5350983
TEST_00017,4.004326,0.8537106,1.1599997
TEST_00018,3.0722737,0.26242793,-0.48692045
TEST_00019,1.4123142,0.08644518,0.29015386
TEST_00020,1.8775212,0.06576652,0.030152798
TEST_00021,3.5106766,-0.3700503,-0.143217
TEST_00022,1.4016461,0.29743326,-0.2752041
TEST_00023,2.1412487,0.39892048,0.6790323
TEST_00024,3.7608793,-0.5852462,0.81746423
TEST_00025,4.925872,1.6184317,1.215938
TEST_00026,1.7891744,-0.5954771,-0.5102046
TEST_00027,3.460282,0.18745393,-0.33773062
TEST_00028,3.4266691,0.48253235,-0.06321665
TEST_00029,2.1746986,-1.144283,1.3395655
TEST_00030,3.534966,-0.19052494,1.2248739
TEST_00031,1.3512204,-0.9073452,-0.10260674
TEST_00032,2.4974666,-0.80966836,-0.020418055
TEST_00033,2.161663,-0.5923253,0.47327137
TEST_00034,1.9925188,-0.15064612,0.39663562
TEST_00035,2.044409,-0.1283312,-0.23869357
TEST_00036,3.5249596,-1.4053077,-0.54735833
TEST_00037,2.837837,-1.576068,0.18665166
TEST_00038,0.9643851,0.3990893,-0.32438022
TEST_00039,5.155953,0.77319545,-1.1260598
TEST_00040,2.3717666,0.32000697,-0.26277378
TEST_00041,3.2218149,-0.41219416,0.69320595
TEST_00042,3.3482707,-1.5039687,-0.50846356
TEST_00043,4.089101,1.6755168,0.9000085
TEST_00044,2.4163506,-0.7569861,-0.22560853
TEST_00045,1.5662388,0.4122679,-0.1222893
TEST_00046,4.44635,-0.16592441,0.6023872
TEST_00047,1.4812367,-0.2652323,-0.23029944
TEST_00048,4.149783,-0.9404579,0.49085212
TEST_00049,2.2219398,0.30302793,0.29583552
TEST_00050,1.0787263,0.54419434,-0.2397645
TEST_00051,3.2211943,-0.36095303,-1.05189
TEST_00052,4.3897853,0.57475895,1.5036036
TEST_00053,2.7874343,0.063364856,0.16307129
TEST_00054,2.5467901,0.21844058,0.9953927
TEST_00055,1.54661,0.08498735,0.36034247
TEST_00056,3.3773382,-0.76798207,-1.11252
TEST_00057,1.3446306,0.21793006,-0.1799857
TEST_00058,3.5343518,-0.6153937,-0.27192098
TEST_00059,3.1896112,-0.45081636,-0.1388651
TEST_00060,2.0202508,-0.9343371,-0.64068407
TEST_00061,1.9271766,0.016350724,0.341082
TEST_00062,2.1805308,0.04523819,0.7920814
TEST_00063,2.7110524,-0.012493329,-0.74232644
TEST_00064,1.8529129,-0.23852813,0.540848
TEST_00065,2.8616912,-1.3789611,-0.7446359
TEST_00066,2.3031542,0.5251719,-0.3312679
TEST_00067,3.6525853,0.13324033,0.18999207
TEST_00068,3.1239944,-0.21541312,0.03870551
TEST_00069,3.059827,-0.41836515,-0.2732386
TEST_00070,1.3569721,0.5207247,0.52248985
TEST_00071,2.6884563,-0.7873727,0.6603666
TEST_00072,2.2532244,1.0318158,0.777163
TEST_00073,3.1230295,-1.1809288,0.91895306
TEST_00074,1.3462186,0.53776383,0.22172202
TEST_00075,0.9277105,0.33282447,-0.263801
TEST_00076,3.964681,0.19650578,1.0478449
TEST_00077,3.3499067,-1.3250995,-1.0871751
TEST_00078,1.2690206,-0.47025523,0.19649825
TEST_00079,4.741403,-1.3918883,1.3061409
TEST_00080,1.4371945,0.48713103,0.41188365
TEST_00081,3.6234908,-1.1682876,1.2462331
TEST_00082,2.2152312,0.20679419,0.3995976
TEST_00083,2.9916368,0.6530618,0.5677423
TEST_00084,2.6033885,0.3029206,-0.18800002
TEST_00085,1.9782406,-0.43157768,0.026532687
TEST_00086,2.1129074,1.2898121,0.2034117
TEST_00087,3.9211345,-0.8748174,0.60580504
TEST_00088,5.236859,-2.183747,1.3130078
TEST_00089,3.313498,-0.0054523945,0.14577231
TEST_00090,3.02324,0.6220902,0.4757807
TEST_00091,1.2368389,-0.3134963,0.21146068
TEST_00092,2.003151,-0.46568486,-0.5268838
TEST_00093,2.4454498,0.49600878,-0.36781952
TEST_00094,1.7695719,0.5805047,0.2709427
TEST_00095,3.839544,-0.215064,-0.8680316
TEST_00096,2.0954788,0.8218534,-0.4302597
TEST_00097,2.818161,-0.08943431,0.24043208
TEST_00098,4.8079047,-1.0772929,-0.11924817
TEST_00099,3.6645017,0.8184827,0.72320676
TEST_00100,1.0389394,0.29572892,0.36957443
TEST_00101,1.5987841,-0.34629864,-0.10416039
TEST_00102,1.8436295,0.49808607,0.41845173
TEST_00103,3.7211401,0.08123352,0.79066145
TEST_00104,2.0062068,0.076141104,-0.2666827
TEST_00105,1.2628704,0.52203065,0.38964006
TEST_00106,3.1644938,-0.0821021,-1.1026039
TEST_00107,4.172829,-0.3867544,1.074362
TEST_00108,3.0059433,-1.0616512,-0.50062346
TEST_00109,1.0196073,-0.1690791,-0.121266976
TEST_00110,2.544837,-1.6523691,0.42661595
TEST_00111,2.9960558,-0.42642966,-0.6428588
TEST_00112,3.5250552,0.47880244,-0.5801713
TEST_00113,3.0505672,-0.14537114,0.4701029
TEST_00114,2.8361373,-0.44166595,1.1871239
TEST_00115,1.2120671,-0.18164527,0.38765454
TEST_00116,3.6925423,-0.849737,-0.71288735
TEST_00117,3.1341426,0.461071,0.74378616
TEST_00118,1.6760935,0.61367005,0.49531752
TEST_00119,4.8521767,-0.027096994,-0.35982051
TEST_00120,2.7239902,-0.99923325,0.49897078
TEST_00121,4.8521204,-1.0332278,1.3190136
TEST_00122,4.2684536,0.51277167,0.5594953
TEST_00123,1.7095197,0.9254804,-0.10404803
TEST_00124,1.7433596,0.19626477,-0.18936194
TEST_00125,2.1246138,-0.77902627,0.7409171
TEST_00126,1.5313466,-0.35033047,-0.30913472
TEST_00127,1.9118024,0.3291861,0.13407558
TEST_00128,3.3333144,1.9580779,0.5236916
TEST_00129,3.5477784,0.4507292,0.46787363
TEST_00130,2.7116888,-0.123145446,-0.012025262
TEST_00131,1.5863463,0.11060602,0.29669434
TEST_00132,4.5094786,0.594539,0.605215
TEST_00133,2.339927,0.6371947,0.4942181
TEST_00134,1.4212285,0.79073304,0.40977
TEST_00135,2.0447688,0.92857915,0.34417412
TEST_00136,3.3638983,-0.11922335,-1.0066361
TEST_00137,1.8376415,0.8521946,-0.7187396
TEST_00138,3.1638763,0.55865306,-0.8102046
TEST_00139,1.7885311,-0.77632284,-0.50457525
TEST_00140,0.89167637,0.5135319,0.28521836
TEST_00141,1.9457535,-0.56942517,0.1338383
TEST_00142,1.1592976,-0.05182585,0.2261724
TEST_00143,4.198456,0.16336986,0.9523257
TEST_00144,2.1366494,-0.19594365,-0.080339365
TEST_00145,5.174814,0.0104073305,-0.55008245
TEST_00146,3.0716143,-0.21938327,-1.281946
TEST_00147,2.1979005,-0.08601605,0.7353933
TEST_00148,2.797915,1.0034034,-0.5784583
TEST_00149,3.3623226,1.1906157,0.54141647
TEST_00150,4.735456,1.0729148,0.80332935
TEST_00151,2.311673,0.10234102,-0.13640986
TEST_00152,2.4549618,0.81538963,0.4208676
TEST_00153,3.7428968,-0.37591693,-0.57688046
